Proteins,LFQ intensity 28a,LFQ intensity 28b,LFQ intensity 28c,LFQ intensity 28d,LFQ intensity 29a,LFQ intensity 29b,LFQ intensity 29c,LFQ intensity 29d,LFQ intensity 30a,LFQ intensity 30b,LFQ intensity 30c,LFQ intensity 30d,LFQ intensity 7a,LFQ intensity 7b,LFQ intensity 7c,LFQ intensity 7d,LFQ intensity CTLa,LFQ intensity CTLb,LFQ intensity CTLc,LFQ intensity CTLd
HNRNPA0,32.58187988,30.51031863,32.17179344,32.12641774,32.66019064,31.24013514,31.43579169,31.54466736,32.35287078,31.10767937,30.91256494,32.47556702,32.72610628,30.44746548,31.63655289,31.76010178,30.49543216,29.48381498,30.59281224,29.23102846
MLLT11,23.90710705,23.54945473,24.16951463,0,24.88315636,24.97145269,0,0,25.21767347,25.04439379,0,0,25.25594716,24.73101858,23.97928144,0,24.16874984,0,0,0
HNRNPM,34.73474111,32.91422353,32.63864725,33.74063326,34.02275599,33.1490568,32.82295358,32.39488858,34.22007421,32.44403745,32.68152177,33.65725435,34.08994158,33.11963192,32.38437607,33.29789078,32.19586455,31.95508037,32.3600596,32.03511866
MPHOSPH10,28.61925918,25.64578661,25.78603805,26.97891064,25.86473988,26.28901501,25.5634877,25.42860604,26.557628,26.02182922,25.84484098,26.57234854,25.85405188,26.53818846,24.16874984,25.68813823,0,0,0,0
MRPL12,30.99408698,30.53343219,31.07437765,30.02313619,29.81621228,30.67623425,30.65650869,28.74733611,30.21523574,30.84408371,30.73036435,30.67295128,29.74045232,29.90827588,29.86590814,30.50521576,28.91307877,28.59921237,28.61708829,27.52342747
RPS29,30.36358842,29.69750106,29.4555813,30.88285328,27.69537848,29.72944081,29.91498976,31.32479812,28.425384,29.94558904,30.35636472,32.11619601,28.65618474,30.90059527,29.07584442,31.53491673,25.83889191,26.45660383,28.01451593,26.85804248
MRPL20,25.81423607,27.01126667,27.46279405,26.00116334,24.27148981,26.98337568,25.83708795,0,23.56987415,27.03138975,28.09259965,26.11328735,26.34717514,27.00945243,25.06931799,26.88518303,0,0,0,0
SMC1A,28.83454657,29.45232474,28.96716499,28.88643372,28.69461491,29.24635571,28.68173957,28.06984037,29.0710176,29.46372965,29.46719388,29.04648212,28.63685536,29.15126953,29.23804045,27.82383815,28.99703856,29.6730187,29.28332497,0
RFC5,29.95560007,29.31105524,29.20734389,29.69099076,28.69055791,28.50161399,28.11674134,28.97158425,29.61764883,29.01810291,29.01900489,29.56478179,28.63529915,28.60179991,28.3519078,29.29136205,27.45473844,28.73350322,0,27.61104867
FASN,28.09587215,27.58441354,24.06800607,23.54616064,27.68029814,26.32314728,0,26.66681995,27.19882344,27.57383692,26.56923677,22.75329919,28.63384517,29.14311622,27.07663458,22.45575765,31.80150936,28.66658295,25.75266648,0
MAP1B,28.18347698,28.36790534,27.67700761,26.26795908,28.62864038,27.96195983,26.83026064,26.2522157,28.5549014,27.67006621,26.76078389,26.07267433,28.63138391,27.94201275,28.08273736,26.15168566,29.89278672,29.38541534,29.10206953,0
MRPL33,26.60130403,26.76825016,26.76205209,27.02833642,25.57493416,26.95980618,25.63070372,24.89434892,25.66903902,26.05407564,27.52140695,27.69059121,25.30159332,26.34218104,26.22355883,27.32885815,0,0,0,0
CAPRIN1,29.34430776,29.29751913,28.47711228,27.60914728,28.99312878,29.73539294,27.94100532,30.73964788,28.66454998,28.58028566,28.43320675,29.08974905,28.60914728,29.89309061,28.54155986,28.97174868,28.98809791,25.88453108,28.81265193,25.6517102
MRPS21,26.10209457,26.64718743,27.06383694,25.20914425,25.996947,26.2472797,26.62100752,25.74190884,25.32991894,24.77625551,26.57255094,24.73226143,26.02789368,26.46948582,27.26936885,28.27777201,0,0,0,0
MRPS28,29.01998582,29.44436828,29.59532234,26.74675971,28.86685151,30.37637641,30.11978649,27.57376471,28.62884894,30.81474642,29.28292746,26.47766045,28.62474186,29.97896518,29.2383594,30.16746313,26.7164651,25.99991693,26.18285214,0
PCMTD1,27.46006175,26.07897703,28.17412344,24.26870875,28.06681612,25.12671928,25.9280703,23.6803518,28.38199629,25.43920466,27.62533428,24.40243077,28.57513619,24.15174372,27.13035736,26.01707821,29.90253723,28.79748738,0,0
MRPS33,26.87981898,29.17209757,28.13050466,27.10769184,26.88413511,28.61347458,29.17126256,25.79605189,24.99705472,28.53430454,27.6020832,24.23066666,26.59619362,28.36248104,28.96917043,29.05855691,23.58943719,22.86576423,23.52049304,26.24472371
MRPS5,29.50392774,28.480429,29.39580798,30.41769967,29.11085567,29.59896401,29.9627873,29.32375717,27.91945785,29.13236911,29.73203171,30.90131482,28.56906289,29.1264239,29.37160717,31.42687399,24.33681217,24.64014209,0,0
DKC1,30.05413776,29.8843826,29.75995897,30.00597767,29.09813339,28.81467003,28.39165581,28.47359441,29.38271785,29.42219886,29.90698667,29.45841988,28.54679357,29.83824876,29.04124254,29.14702877,25.34119711,26.97169387,29.37838307,0
MSH6,28.21757179,27.67929163,26.80365856,27.1882962,28.05092475,26.67222634,26.00953786,26.789052,28.97544344,27.26454497,28.48400712,27.52462349,28.10569531,27.77705862,26.31366513,26.51981847,27.81610544,26.51154818,25.56746804,25.70361256
MRPS35,28.40689669,30.51737615,29.48818958,29.76694004,28.0849686,29.91185098,30.11842564,28.32337065,27.6056902,29.98928959,29.59562468,30.00463899,28.53952761,29.70498804,29.45818518,30.31689175,24.21178257,24.1220254,24.81303742,0
HSD17B12,29.15487044,27.33645467,27.86384239,28.3135008,29.87459614,26.95980618,28.24004413,28.07413517,30.38370683,27.01116002,28.86699885,28.5347498,29.87787542,27.53771465,28.07546193,28.40685615,27.60102059,27.37268681,26.56756958,27.68892524
MSI1,28.82544646,29.04043275,28.61178742,27.73182138,28.2822868,28.58598979,28.26284384,26.76255905,28.46738826,28.72777045,28.1842813,27.82493078,28.19596425,28.07729697,28.10049135,27.95065885,24.19302416,25.83011554,25.8070292,0
CSDE1,29.09189383,30.01385069,29.15064026,26.38307643,28.22935609,30.09748051,29.71713547,28.43837201,28.54491604,29.98901884,29.23201265,28.28854866,28.48558176,30.29723486,29.74992706,27.7659132,27.55866465,27.61981888,28.72819228,26.28662008
MRPS18B,28.54730854,30.23546345,29.91498976,30.3569943,28.80728721,29.84508633,30.26896747,28.96768722,28.37318484,29.82830965,29.61584381,30.69834591,28.47780711,29.58498692,29.88100137,30.50132926,25.78915152,24.96780813,24.72244484,0
MTA2,28.04202578,28.11812855,28.36877966,27.58520188,26.91364948,28.76179854,27.45802868,0,24.64916275,27.78362985,27.67828442,0,26.79439187,27.39402994,29.00498717,0,25.34078977,26.74624716,26.87794854,0
MTPAP,25.73391691,24.30243031,23.88502007,23.99757163,26.73724796,0,22.38850611,23.50942032,26.97432233,0,25.5869204,24.60325823,25.94019887,22.79306744,23.57415463,22.93414508,0,0,0,0
PWP1,30.20011057,29.05680121,29.91669894,29.31529446,28.85774594,28.92863511,28.74669565,26.41398127,29.17145346,29.32671708,28.79788931,28.69909096,28.42430304,28.83824876,28.79333788,28.42554407,26.75875247,26.90127166,0,0
MZT2B,25.6167799,23.41196296,23.44025075,24.85633358,32.69658525,28.12716224,21.80644421,0,30.25327123,21.03187348,22.99106229,23.89947494,32.5586008,24.9655201,24.29544049,23.56790317,0,0,23.9392126,0
NCBP1,30.89193258,30.17676472,29.64771925,28.83884984,32.31308448,30.80385868,31.01538028,29.16365367,31.05678829,29.72491176,30.18907427,28.30273534,32.39573139,31.73573993,31.27558701,31.3786518,26.70635563,27.33543275,24.81333106,23.60772312
MRPS16,30.49876413,29.40557865,29.83480271,30.46324244,29.29526531,29.90397403,29.37610727,28.63947982,28.11589846,29.10634448,29.82330671,30.97350145,28.36423573,28.66722613,29.38568276,30.21662394,24.17165388,25.17744448,25.45982731,0
NCBP2,29.9212469,29.16057961,29.70521881,28.2983279,31.32361761,30.38092359,30.75007086,29.31244085,30.37357899,29.42015186,28.42758344,28.13638422,31.47716054,30.64555644,30.50332121,30.21766422,24.75689629,23.88483381,0,0
NCL,36.04472061,35.53927454,35.94578523,35.28815809,33.99496365,35.65970167,35.03882652,34.28726378,34.82002645,35.79020527,34.59251153,35.05791006,33.81688363,35.3688655,34.9408286,34.6308699,33.18017812,34.26290543,33.77372245,32.45527753
IFIT5,31.04205188,20.76999599,0,22.28104708,28.61431742,21.57883702,0,22.36991466,30.33244801,21.92132522,0,21.67972921,25.71463228,19.86628886,0,22.14463584,22.22685078,0,0,0
NDUFS2,25.17904042,25.25950738,0,24.92329448,25.84409868,0,0,0,25.96102146,0,25.54854373,24.78964906,26.2115598,25.21133699,25.03321865,24.02580464,0,25.35776622,0,0
LRPPRC,28.02078068,30.2045482,26.40735063,28.72871128,27.38508615,29.71757676,28.26990384,29.13195227,26.82578003,30.22653387,28.50487492,28.98660692,28.330013,30.09219637,28.14812044,28.79432989,28.83454657,29.16920876,28.0056565,26.25337042
